Orthogroup	Best Gene Name	Gene Name Occurrences
OG0000655	phosphoribosylamine--glycine ligase	{'phosphoribosylamine--glycine ligase': 46, 'Phosphoribosylamine--glycine ligase': 23}
OG0000656	xanthine/uracil permease	{'Uracil permease': 20, 'Putative pyrimidine permease RutG': 3, 'xanthine/uracil permease': 24, 'nitrate reductase': 2, 'uracil permease': 20}
OG0000657	RluA family pseudouridine synthase	{'RluA family pseudouridine synthase': 46, 'Ribosomal large subunit pseudouridine synthase D': 23}
OG0000658	glutamine-hydrolyzing GMP synthase	{'GMP synthase': 23, 'glutamine-hydrolyzing GMP synthase': 46}
OG0000659	elongation factor Tu	{'Elongation factor Tu-B': 1, 'Elongation factor Tu': 22, 'elongation factor Tu': 46}
OG0000660	trigger factor	{'trigger factor': 46, 'Trigger factor': 23}
OG0000661	excinuclease ABC subunit UvrC	{'UvrABC system protein C': 23, 'excinuclease ABC subunit UvrC': 46}
OG0000662	adenine phosphoribosyltransferase	{'adenine phosphoribosyltransferase': 46, 'Adenine phosphoribosyltransferase': 23}
OG0000663	GTPase ObgE	{'GTPase Obg': 10, 'GTPase ObgE': 59}
OG0000664	helix-turn-helix transcriptional regulator	{'HTH-type transcriptional regulator SinR': 1, 'Helix-turn-helix domain protein': 1, 'anaerobic benzoate catabolism transcriptional regulator': 6, 'helix-turn-helix transcriptional regulator': 61}
OG0000665	hypothetical protein	{'hypothetical protein': 69}
OG0000666	metal ABC transporter substrate-binding protein	{'anchored repeat ABC transporter, substrate-binding protein': 1, 'Manganese ABC transporter substrate-binding lipoprotein': 2, 'Manganese ABC transporter substrate-binding lipoprotein precursor': 9, 'High-affinity zinc uptake system binding-protein ZnuA precursor': 8, 'Periplasmic zinc-binding protein TroA': 2, 'metal ABC transporter substrate-binding protein': 44, 'High-affinity zinc uptake system binding-protein ZnuA': 3}
OG0000667	PTS glucose transporter subunit IIBC	{'PTS system maltose-specific EIICB component': 16, 'PTS alpha-glucoside transporter subunit IICB': 2, 'PTS system glucoside-specific EIICBA component': 2, 'PTS glucose transporter subunit IICBA': 2, 'protein-N(pi)-phosphohistidine--sugar phosphotransferase': 2, 'PTS system maltose- and glucose-specific EIICB component': 4, 'PTS mannose transporter subunit IIAB': 10, 'PTS glucose transporter subunit IIBC': 20, 'PTS system glucose-specific EIICBA component': 11}
OG0000668	RIP metalloprotease RseP	{'RIP metalloprotease RseP': 44, 'Regulator of sigma-W protease RasP': 13, 'peptidase': 1, 'Putative zinc metalloprotease': 7, 'Zinc metalloprotease Rip1': 2, 'PDZ domain-containing protein': 1}
OG0000669	elongation factor 4	{'Elongation factor 4': 23, 'elongation factor 4': 45}
OG0000670	D-tyrosyl-tRNA(Tyr) deacylase	{'D-aminoacyl-tRNA deacylase': 3, 'D-tyrosyl-tRNA(Tyr) deacylase': 65}
OG0000671	mevalonate kinase	{'Galactokinase': 8, 'mevalonate kinase': 56, 'D-glycero-alpha-D-manno-heptose 7-phosphate kinase': 4}
OG0000672	homoserine kinase	{'Homoserine kinase': 21, 'homoserine kinase': 47}
OG0000673	beta-phosphoglucomutase	{'beta-phosphoglucomutase': 45, 'putative glycosyl hydrolase/MT2062': 2, 'HAD-IA family hydrolase': 1, 'Beta-phosphoglucomutase': 19, 'beta-phosphoglucomutase family hydrolase': 1}
OG0000674	transcriptional repressor NrdR	{'transcriptional repressor NrdR': 46, 'Transcriptional repressor NrdR': 22}
OG0000675	signal recognition particle-docking protein FtsY	{'signal recognition particle-docking protein FtsY': 45, 'Signal recognition particle receptor FtsY': 23}
OG0000676	glycoside hydrolase family 65 protein	{'Alpha,alpha-trehalose phosphorylase': 6, 'glycoside hydrolase family 65 protein': 45, 'Kojibiose phosphorylase': 1, 'Maltose phosphorylase': 16}
OG0000677	universal stress protein	{'universal stress protein': 44, 'Putative universal stress protein': 24}
OG0000678	F0F1 ATP synthase subunit epsilon	{'F0F1 ATP synthase subunit epsilon': 46, 'ATP synthase epsilon chain': 22}
OG0000679	F0F1 ATP synthase subunit gamma	{'F0F1 ATP synthase subunit gamma': 46, 'ATP synthase gamma chain': 22}
OG0000680	F0F1 ATP synthase subunit C	{'ATP synthase F0 subunit C': 2, 'F0F1 ATP synthase subunit C': 44, 'ATP synthase subunit c': 22}
OG0000681	F0F1 ATP synthase subunit A	{'ATP synthase subunit a': 22, 'F0F1 ATP synthase subunit A': 46}
OG0000682	Mur ligase family protein	{'UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase': 3, 'UDP-N-acetylmuramate--L-alanine ligase': 17, 'UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase': 2, 'DUF1727 domain-containing protein': 2, 'Mur ligase family protein': 44}
OG0000683	cobalamin biosynthesis protein CobQ	{'cobyric acid synthase': 16, 'cobalamin biosynthesis protein CobQ': 25, 'Cobyric acid synthase': 6, 'glutamine amidotransferase': 21}
OG0000684	inositol monophosphatase family protein	{'Fructose-1,6-bisphosphatase/inositol-1-monophosphatase': 2, 'Inositol-1-monophosphatase ImpA': 1, 'inositol monophosphatase': 1, 'inositol monophosphatase family protein': 45, 'Inositol-1-monophosphatase': 19}
OG0000685	tRNA 2-thiouridine(34) synthase MnmA	{'tRNA-specific 2-thiouridylase MnmA': 22, 'tRNA 2-thiouridine(34) synthase MnmA': 46}
OG0000686	5'-methylthioadenosine/adenosylhomocysteine nucleosidase	"{""5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase"": 21, ""5'-methylthioadenosine/adenosylhomocysteine nucleosidase"": 46, 'Aminodeoxyfutalosine nucleosidase': 1}"
OG0000687	NADP-dependent phosphogluconate dehydrogenase	{'6-phosphogluconate dehydrogenase, decarboxylating': 15, '6-phosphogluconate dehydrogenase, NADP(+)-dependent, decarboxylating': 7, 'NADP-dependent phosphogluconate dehydrogenase': 46}
OG0000688	Cys-tRNA(Pro) deacylase	{'Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK': 22, 'Cys-tRNA(Pro) deacylase': 46}
OG0000689	ABC transporter permease subunit	{'Carnitine transport permease protein OpuCD': 1, 'Riboflavin transport system permease protein RibX': 1, 'Putative aliphatic sulfonates transport permease protein SsuC': 11, 'ABC transporter permease': 11, 'Bicarbonate transport system permease protein CmpB': 1, 'ABC transporter permease subunit': 43}
OG0000690	YbaB/EbfC family nucleoid-associated protein	{'YbaB/EbfC family nucleoid-associated protein': 46, 'Nucleoid-associated protein': 22}
OG0000691	DNA polymerase III subunit gamma/tau	{'DNA polymerase III subunit gamma/tau': 44, 'DNA polymerase III subunit gamma and tau': 1, 'DNA polymerase III subunit tau': 23}
OG0000692	class I SAM-dependent methyltransferase	{'Ribosomal RNA small subunit methyltransferase C': 20, 'class I SAM-dependent methyltransferase': 44, 'methyltransferase': 2, 'Ribosomal RNA large subunit methyltransferase G': 2}
OG0000693	DNA repair protein RadA	{'DNA repair protein RadA': 48, 'hypothetical protein': 20}
OG0000694	RNase adapter RapZ	{'Nucleotide-binding protein YvcJ': 3, 'glmZ(sRNA)-inactivating NTPase': 19, 'RNase adapter RapZ': 46}
OG0000695	S4 domain-containing protein YaaA	{'ribosome-associated protein': 2, 'S4 domain-containing protein YaaA': 44, 'hypothetical protein': 20, 'RNA-binding S4 domain-containing protein': 2}
OG0000696	2,3-diphosphoglycerate-dependent phosphoglycerate mutase	{'2,3-diphosphoglycerate-dependent phosphoglycerate mutase': 44, '2,3-bisphosphoglycerate-dependent phosphoglycerate mutase': 22, 'phosphoglyceromutase': 2}
OG0000697	acetyl-CoA carboxylase biotin carboxyl carrier protein	{'acetyl-CoA carboxylase biotin carboxyl carrier protein': 44, 'Biotin carboxyl carrier protein of acetyl-CoA carboxylase': 24}
OG0000698	aspartate-semialdehyde dehydrogenase	{'Aspartate-semialdehyde dehydrogenase': 22, 'aspartate-semialdehyde dehydrogenase': 46}
OG0000699	4-hydroxy-tetrahydrodipicolinate reductase	{'4-hydroxy-tetrahydrodipicolinate reductase': 68}
OG0000700	alanine dehydrogenase	{'Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha': 2, 'N(5)-(carboxyethyl)ornithine synthase': 7, 'Alanine dehydrogenase 1': 3, 'NAD(P) transhydrogenase subunit alpha part 1': 2, 'NAD(P) transhydrogenase subunit alpha': 3, 'alanine dehydrogenase': 42, 'hypothetical protein': 1, 'Alanine dehydrogenase': 6, 'Alanine dehydrogenase 2': 2}
OG0000701	orotidine-5'-phosphate decarboxylase	"{""Orotidine 5'-phosphate decarboxylase"": 22, ""orotidine-5'-phosphate decarboxylase"": 46}"
OG0000702	glycosyl hydrolase	{'Exo-alpha-(1->6)-L-arabinopyranosidase': 1, 'beta-glucosidase': 1, 'Beta-glucosidase BoGH3B': 3, 'beta-glucosidase BglX': 3, 'Thermostable beta-glucosidase B': 11, 'Periplasmic beta-glucosidase precursor': 4, 'glycosyl hydrolase': 45}
OG0000703	GNAT family N-acetyltransferase	{'putative acetyltransferase': 11, 'Acetyltransferase YpeA': 1, 'GNAT family N-acetyltransferase': 43, 'Acetyltransferase (GNAT) family protein': 3, 'aminoalkylphosphonic acid N-acetyltransferase': 3, 'hypothetical protein': 3, 'Mycothiol acetyltransferase': 3, 'TDP-fucosamine acetyltransferase': 1}
OG0000704	phosphoribosylformylglycinamidine synthase subunit PurQ	{'Phosphoribosylformylglycinamidine synthase 1': 18, 'Phosphoribosylformylglycinamidine synthase subunit PurQ': 2, 'Phosphoribosylformylglycinamidine synthase': 2, 'phosphoribosylformylglycinamidine synthase subunit PurQ': 46}
OG0000705	ammonia-dependent NAD(+) synthetase	{'NH(3)-dependent NAD(+) synthetase': 22, 'NAD(+) synthase': 2, 'ammonia-dependent NAD(+) synthetase': 44}
OG0000706	signal peptidase II	{'Lipoprotein signal peptidase': 18, 'signal peptidase II': 46, 'lipoprotein signal peptidase': 4}
OG0000707	exodeoxyribonuclease III	{'exodeoxyribonuclease III': 46, 'Exodeoxyribonuclease': 22}
OG0000708	type I pantothenate kinase	{'Pantothenate kinase': 22, 'type I pantothenate kinase': 46}
OG0000709	ATP-dependent Clp protease ATP-binding subunit ClpX	{'ATP-dependent Clp protease ATP-binding subunit ClpX': 68}
OG0000710	S-ribosylhomocysteine lyase	{'S-ribosylhomocysteine lyase': 68}
OG0000711	tyrosine--tRNA ligase	{'Tyrosine--tRNA ligase': 16, 'Tyrosine--tRNA ligase 1': 6, 'tyrosine--tRNA ligase': 46}
OG0000712	EamA family transporter	{'EamA/RhaT family transporter, partial': 3, 'EamA family transporter': 22, 'EamA/RhaT family transporter': 22, 'hypothetical protein': 1, 'putative inner membrane transporter YicL': 20}
OG0000713	Gfo/Idh/MocA family oxidoreductase	{'putative oxidoreductase YcjS': 1, '1,5-anhydro-D-fructose reductase': 1, 'putative oxidoreductase YhhX': 10, 'Gfo/Idh/MocA family oxidoreductase': 46, 'Putative oxidoreductase YceM': 9, 'putative oxidoreductase YvaA': 1}
OG0000714	ATP-dependent 6-phosphofructokinase	{'6-phosphofructokinase 1': 2, '6-phosphofructokinase': 29, 'ATP-dependent 6-phosphofructokinase': 37}
OG0000715	HlyC/CorC family transporter	{'Hemolysin C': 4, 'HlyC/CorC family transporter': 48, 'Magnesium and cobalt efflux protein CorC': 16}
OG0000716	ATP-binding cassette domain-containing protein	{'putative ABC transporter ATP-binding protein YbbL': 12, 'ATP-binding cassette domain-containing protein': 51, 'putative iron export ATP-binding protein FetA': 4, 'Fe(3+) dicitrate transport ATP-binding protein FecE': 1}
OG0000717	putative holin-like toxin	{'holin': 31, 'putative holin-like toxin': 37}
OG0000718	phage tail protein	{'phage tail family protein, partial': 1, 'Phage tail protein': 5, 'phage tail protein': 48, 'hypothetical protein': 2, 'phage tail family protein': 6, 'phage tail protein, partial': 6}
OG0000719	XkdX family protein	{'XkdX family protein': 59, 'hypothetical protein': 9}
OG0000720	N-acetyltransferase family protein	{'N-acetyltransferase': 2, 'Phosphinothricin N-acetyltransferase': 7, 'N-acyltransferase YncA': 4, 'hypothetical protein': 2, 'N-acetyltransferase family protein': 44, 'Putative phosphinothricin acetyltransferase YwnH': 8}
OG0000721	SPFH/Band 7/PHB domain protein	{'Modulator of FtsH protease HflK': 13, 'SPFH/Band 7/PHB domain protein': 45, 'slipin family protein': 2, 'hypothetical protein': 2, 'Modulator of FtsH protease HflC': 1, 'FtsH protease regulator HflK': 4}
OG0000722	mannose-6-phosphate isomerase, class I	{'Mannose-6-phosphate isomerase ManA': 2, 'mannose-6-phosphate isomerase': 1, 'Putative mannose-6-phosphate isomerase YvyI': 10, 'putative mannose-6-phosphate isomerase GmuF': 11, 'mannose-6-phosphate isomerase, class I': 43}
OG0000723	type 2 isopentenyl-diphosphate Delta-isomerase	{'Isopentenyl-diphosphate delta-isomerase': 21, 'type 2 isopentenyl-diphosphate Delta-isomerase': 46}
OG0000724	phosphomevalonate kinase	{'Phosphomevalonate kinase': 3, 'phosphomevalonate kinase': 46, 'mevalonate kinase': 18}
OG0000725	diphosphomevalonate decarboxylase	{'Galactokinase': 1, 'shikimate kinase': 7, 'Homoserine kinase': 3, 'hypothetical protein': 3, 'homoserine kinase': 5, 'diphosphomevalonate decarboxylase': 46, '4-diphosphocytidyl-2-C-methyl-D-erythritol kinase': 2}
OG0000726	homoserine dehydrogenase	{'homoserine dehydrogenase': 46, 'Homoserine dehydrogenase': 21}
OG0000727	ASCH domain-containing protein	{'ASCH domain-containing protein': 47, 'hypothetical protein': 1, 'ASCH domain protein': 19}
OG0000728	ABC transporter ATP-binding protein	{'ABC transporter ATP-binding protein': 44, 'ABC-type transporter ATP-binding protein EcsA': 23}
OG0000729	polysaccharide deacetylase	{'Peptidoglycan-N-acetylmuramic acid deacetylase PdaC': 1, 'polysaccharide deacetylase family protein': 4, 'polysaccharide deacetylase': 43, 'Bifunctional xylanase/deacetylase precursor': 2, 'hypothetical protein': 1, 'Peptidoglycan-N-acetylmuramic acid deacetylase PdaA': 1, 'Peptidoglycan-N-acetylglucosamine deacetylase': 15}
OG0000730	sensor histidine kinase	{'Sensor histidine kinase DesK': 1, 'Sensor histidine kinase LiaS': 10, 'sensor histidine kinase': 45, 'Signal transduction histidine-protein kinase/phosphatase DegS': 1, 'Oxygen sensor histidine kinase NreB': 6, 'hypothetical protein': 1, 'Sensor protein VraS': 2, 'Sensor histidine kinase ComP': 1}
OG0000731	exopolyphosphatase	"{'exopolyphosphatase': 44, 'Exopolyphosphatase': 13, ""Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase"": 8, 'Ppx/GppA family phosphatase': 2}"
OG0000732	thiol peroxidase	{'thiol peroxidase': 45, 'putative thiol peroxidase': 21, 'peroxiredoxin': 1}
OG0000733	F0F1 ATP synthase subunit delta	{'ATP synthase subunit delta': 21, 'F0F1 ATP synthase subunit delta': 46}
OG0000734	serine hydroxymethyltransferase	{'serine hydroxymethyltransferase': 44, 'glycine hydroxymethyltransferase': 2, 'Serine hydroxymethyltransferase': 21}
OG0000735	phospho-sugar mutase	{'putative phosphomannomutase': 2, 'phospho-sugar mutase': 47, 'Phosphoglucomutase': 18}
OG0000736	diacylglycerol kinase	{'Diacylglycerol kinase': 20, 'Putative lipid kinase': 2, 'diacylglycerol kinase': 45}
OG0000737	energy-coupling factor ABC transporter ATP-binding protein	{'energy-coupling factor ABC transporter ATP-binding protein': 44, 'Energy-coupling factor transporter ATP-binding protein EcfA1': 21, 'ATP-binding cassette domain-containing protein': 1, 'Putative HMP/thiamine import ATP-binding protein YkoD': 1}
OG0000738	FAD:protein FMN transferase	{'Thiamine biosynthesis lipoprotein ApbE precursor': 11, 'hypothetical protein': 1, 'FAD:protein FMN transferase': 55}
OG0000739	acetyl-CoA carboxylase carboxyl transferase subunit alpha	{'putative propionyl-CoA carboxylase beta chain 5': 1, 'Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha': 22, 'acetyl-CoA carboxylase carboxyl transferase subunit alpha': 44}
OG0000740	acetolactate decarboxylase	{'hypothetical protein': 1, 'Alpha-acetolactate decarboxylase precursor': 3, 'Alpha-acetolactate decarboxylase': 17, 'acetolactate decarboxylase': 46}
OG0000741	diaminopimelate decarboxylase	{'Diaminopimelate decarboxylase': 21, 'diaminopimelate decarboxylase': 46}
OG0000742	glutamate ABC transporter substrate-binding protein	{'Major cell-binding factor': 1, 'ABC transporter glutamine-binding protein GlnH precursor': 18, 'Glutamine-binding periplasmic protein precursor': 1, 'Major cell-binding factor precursor': 2, 'glutamate ABC transporter substrate-binding protein': 45}
OG0000743	ABC-F type ribosomal protection protein	{'ABC-F family ATP-binding cassette domain-containing protein': 5, 'Glutamine transport ATP-binding protein GlnQ': 1, 'ABC-F type ribosomal protection protein': 43, 'Lipoprotein-releasing system ATP-binding protein LolD': 1, 'ABC transporter ATP-binding protein uup': 1, 'putative ABC transporter ATP-binding protein YheS': 11, 'putative ABC transporter ATP-binding protein': 2, 'putative ABC transporter ATP-binding protein/MT2552': 1, 'putative ABC transporter ATP-binding protein YjjK': 2}
OG0000744	nickase	{'nicking enzyme TraA protein': 1, 'nicking enzyme TraA protein, partial': 2, 'nickase, partial': 8, 'Mobilization protein A': 16, 'hypothetical protein': 2, 'nickase': 38}
OG0000745	phosphoribosylaminoimidazolesuccinocarboxamide synthase	{'Phosphoribosylaminoimidazole-succinocarboxamide synthase': 22, 'phosphoribosylaminoimidazolesuccinocarboxamide synthase': 45}
OG0000746	phosphoribosylformylglycinamidine synthase subunit PurL	{'phosphoribosylformylglycinamidine synthase subunit PurL': 46, 'Phosphoribosylformylglycinamidine synthase subunit PurL': 3, 'Phosphoribosylformylglycinamidine synthase 2': 18}
OG0000747	cation-translocating P-type ATPase	{'Calcium-transporting ATPase 1': 20, 'cation-translocating P-type ATPase': 44, 'Calcium-transporting ATPase': 3}
OG0000748	sugar ABC transporter ATP-binding protein	{'Xylose import ATP-binding protein XylG': 4, 'Ribose import ATP-binding protein RbsA': 12, 'ABC transporter ATP-binding protein': 2, 'Galactose/methyl galactoside import ATP-binding protein MglA': 7, 'sugar ABC transporter ATP-binding protein': 41, 'Arginine transport ATP-binding protein ArtM': 1}
OG0000749	alpha-xylosidase	{'Alpha-xylosidase': 11, 'alpha-glucosidase': 4, 'glycoside hydrolase family 31 protein': 6, 'glycoside hydrolase': 2, 'alpha-xylosidase': 40, 'Alpha-xylosidase BoGH31A': 4}
OG0000750	DNA repair protein RadC	{'hypothetical protein': 23, 'DNA repair protein RadC': 44}
OG0000751	S9 family peptidase	{'Prolyl tripeptidyl peptidase precursor': 6, 'S9 family peptidase': 46, 'acylamino acid-releasing protein': 13, 'Cephalosporin-C deacetylase': 1, 'Dipeptidyl-peptidase 5': 1}
OG0000752	adenosine deaminase	{'Adenine deaminase': 6, 'Adenosine deaminase': 1, 'adenosine deaminase': 47, 'Aminodeoxyfutalosine deaminase': 13}
OG0000753	Gfo/Idh/MocA family oxidoreductase	{'putative oxidoreductase YcjS': 1, '1,5-anhydro-D-fructose reductase': 10, 'Gfo/Idh/MocA family oxidoreductase': 49, 'putative oxidoreductase YdgJ': 1, 'putative oxidoreductase YhhX': 2, 'Glucose--fructose oxidoreductase precursor': 2, 'Glucose--fructose oxidoreductase': 2}
OG0000754	hypothetical protein	{'hypothetical protein': 67}
OG0000755	hypothetical protein	{'hypothetical protein': 67}
OG0000756	HAMP domain-containing histidine kinase	{'Sensor histidine kinase ResE': 2, 'Sensor histidine kinase YycG': 5, 'putative sensor histidine kinase TcrY': 3, 'HAMP domain-containing histidine kinase': 46, 'Alkaline phosphatase synthesis sensor protein PhoR': 2, 'Sensor histidine kinase MtrB': 1, 'Sensor protein kinase WalK': 7}
OG0000757	IS110 family transposase	{'Holliday junction DNA helicase RuvA': 1, 'Transposase': 2, 'hypothetical protein': 3, 'IS110 family transposase, partial': 4, 'IS110 family transposase': 40, 'Transposase IS116/IS110/IS902 family protein': 16}
OG0000758	nitroreductase family protein	{'nitroreductase family protein': 44, 'hypothetical protein': 10, 'Nitroreductase family protein': 12}
OG0000759	tRNA guanosine(34) transglycosylase Tgt	{'tRNA guanosine(34) transglycosylase Tgt': 46, 'Queuine tRNA-ribosyltransferase': 20}
OG0000760	kinase/pyrophosphorylase	{'Putative pyruvate, phosphate dikinase regulatory protein': 20, 'kinase/pyrophosphorylase': 46}
OG0000761	asparagine--tRNA ligase	{'asparagine--tRNA ligase': 44, 'Asparagine--tRNA ligase': 22}
OG0000762	MarR family transcriptional regulator	{'HTH-type transcriptional regulator rot': 1, 'HTH-type transcriptional regulator SarZ': 3, 'Transcriptional regulator SlyA': 2, 'MarR family transcriptional regulator': 45, 'HTH-type transcriptional regulator MhqR': 2, 'MarR family protein': 1, 'Organic hydroperoxide resistance transcriptional regulator': 9, 'HTH-type transcriptional regulator MgrA': 3}
OG0000763	aldose 1-epimerase family protein	{'Aldose 1-epimerase': 19, 'hypothetical protein': 3, 'aldose 1-epimerase family protein': 44}
OG0000764	ArgR family transcriptional regulator	{'ArgR family transcriptional regulator': 45, 'arginine repressor': 1, 'Arginine repressor': 20}
OG0000765	2',3'-cyclic-nucleotide 2'-phosphodiesterase	"{""bifunctional metallophosphatase/5'-nucleotidase"": 2, 'Trifunctional nucleotide phosphoesterase protein YfkN precursor': 10, ""2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase"": 1, 'Endonuclease YhcR precursor': 1, ""2',3'-cyclic-nucleotide 2'-phosphodiesterase"": 43, ""5'-nucleotidase"": 1, 'Trifunctional nucleotide phosphoesterase protein YfkN': 2, ""2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase precursor"": 6}"
OG0000766	NAD(P)/FAD-dependent oxidoreductase	{'Ferredoxin--NADP reductase': 3, 'NAD(P)/FAD-dependent oxidoreductase': 44, 'Ferredoxin--NADP reductase 2': 19}
OG0000767	gamma-glutamyl-gamma-aminobutyrate hydrolase family protein	{'gamma-glutamyl-gamma-aminobutyrate hydrolase family protein': 39, 'gamma-glutamyl-gamma-aminobutyrate hydrolase': 1, 'Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD': 3, 'Putative glutamine amidotransferase': 23}
OG0000768	multidrug efflux SMR transporter	{'Quaternary ammonium compound-resistance protein QacC': 4, 'Multidrug resistance protein EbrB': 1, 'multidrug efflux SMR transporter': 44, 'Multidrug resistance protein YkkD': 2, 'Multidrug resistance protein YkkC': 2, 'Quaternary ammonium compound-resistance protein SugE': 13}
OG0000769	glycine cleavage system protein H	{'Glycine cleavage system H-like protein': 2, 'glycine cleavage system protein H': 44, 'glycine cleavage system protein GcvH': 2, 'Glycine cleavage system H protein': 18}
OG0000770	redox-sensing transcriptional repressor Rex	{'Redox-sensing transcriptional repressor Rex': 21, 'redox-sensing transcriptional repressor Rex': 45}
OG0000771	ABC-F family ATP-binding cassette domain-containing protein	{'ABC-F family ATP-binding cassette domain-containing protein': 45, 'Energy-dependent translational throttle protein EttA': 1, 'putative ABC transporter ATP-binding protein YbiT': 1, 'putative ABC transporter ATP-binding protein YheS': 14, 'hypothetical protein': 1, 'putative ABC transporter ATP-binding protein': 1, 'putative ABC transporter ATP-binding protein YjjK': 3}
OG0000772	cysteine hydrolase	{'Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB': 1, 'putative hydrolase': 2, 'isochorismatase family protein': 2, 'Nicotinamidase/pyrazinamidase': 1, 'Isochorismatase family protein YecD': 7, 'Nicotinamidase': 1, 'cysteine hydrolase': 42, 'nicotinamidase/pyrazinamidase': 5, 'Vibriobactin-specific isochorismatase': 1, 'N-carbamoylsarcosine amidase': 3, 'Streptothricin hydrolase': 1}
OG0000773	type 1 glutamine amidotransferase	{'Carbamoyl-phosphate synthase arginine-specific small chain': 1, 'GMP synthase': 7, 'glutamine amidotransferase': 10, 'type 1 glutamine amidotransferase': 46, 'hypothetical protein': 2}
OG0000774	glucose-6-phosphate isomerase	{'glucose-6-phosphate isomerase': 44, 'Glucose-6-phosphate isomerase': 22}
OG0000775	M1 family metallopeptidase	{'Aminopeptidase N': 20, 'aminopeptidase N': 2, 'M1 family metallopeptidase': 44}
OG0000776	lactonase family protein	{'lactonase family protein': 44, '6-phosphogluconolactonase': 22}
OG0000777	glutamate-5-semialdehyde dehydrogenase	{'Gamma-glutamyl phosphate reductase': 20, 'glutamate-5-semialdehyde dehydrogenase': 46}
OG0000778	argininosuccinate synthase	{'argininosuccinate synthase': 46, 'Argininosuccinate synthase': 20}
OG0000779	argininosuccinate lyase	{'argininosuccinate lyase': 46, 'Argininosuccinate lyase 1': 14, 'Argininosuccinate lyase': 6}
OG0000780	antibiotic biosynthesis monooxygenase	{'Autoinducer 2-degrading protein LsrG': 2, 'Antibiotic biosynthesis monooxygenase': 5, 'Putative monooxygenase YcnE': 10, 'hypothetical protein': 2, 'Putative monooxygenase': 1, 'antibiotic biosynthesis monooxygenase': 46}
OG0000781	polysaccharide biosynthesis protein	{'Lipid II flippase MurJ': 3, 'putative cell division protein YtgP': 17, 'polysaccharide biosynthesis protein': 46}
OG0000782	PRD domain-containing protein	{'PRD domain-containing protein': 37, 'PTS fructose transporter subunit IIA': 3, 'Ascorbate-specific phosphotransferase enzyme IIA component': 5, 'putative licABCH operon regulator': 1, 'Ascorbate-specific PTS system EIIA component': 1, 'PTS sugar transporter subunit IIA': 19}
OG0000783	oligopeptide ABC transporter substrate-binding protein	{'ABC transporter substrate-binding protein': 2, 'Oligopeptide-binding protein AppA precursor': 16, 'putative D,D-dipeptide-binding periplasmic protein DdpA precursor': 1, 'Bacterial extracellular solute-binding proteins, family 5 Middle': 1, 'oligopeptide ABC transporter substrate-binding protein': 44, 'Oligopeptide-binding protein AppA': 2}
OG0000784	metal ABC transporter permease	{'metal ABC transporter permease': 45, 'High-affinity zinc uptake system membrane protein ZnuB': 5, 'Manganese transport system membrane protein MntB': 15, 'anchored repeat-type ABC transporter permease subunit': 1}
OG0000785	M20/M25/M40 family metallo-hydrolase	{'dipeptidase': 2, 'Acetylornithine deacetylase': 1, 'Succinyl-diaminopimelate desuccinylase': 10, 'hypothetical protein': 2, 'M20/M25/M40 family metallo-hydrolase': 50, 'N-formyl-4-amino-5-aminomethyl-2-methylpyrimidine deformylase': 1}
OG0000786	glucosamine-6-phosphate deaminase	{'Glucosamine-6-phosphate deaminase': 20, 'glucosamine-6-phosphate deaminase': 46}
OG0000787	hypothetical protein	{'hypothetical protein': 55, 'phage infection protein, partial': 1, 'phage infection protein': 10}
OG0000788	DUF1129 domain-containing protein	{'DUF1129 domain-containing protein': 44, 'hypothetical protein': 21}
OG0000789	bifunctional oligoribonuclease/PAP phosphatase NrnA	{'Bifunctional oligoribonuclease and PAP phosphatase NrnA': 1, 'putative bifunctional oligoribonuclease and PAP phosphatase NrnA': 20, 'bifunctional oligoribonuclease/PAP phosphatase NrnA': 44}
OG0000790	transcriptional repressor LexA	{'LexA repressor': 21, 'transcriptional repressor LexA': 44}
OG0000791	16S rRNA (uracil(1498)-N(3))-methyltransferase	{'16S rRNA (uracil(1498)-N(3))-methyltransferase': 46, 'Ribosomal RNA small subunit methyltransferase E': 19}
OG0000792	YitT family protein	{'YitT family protein': 44, 'hypothetical protein': 21}
OG0000793	segregation/condensation protein A	{'segregation/condensation protein A': 44, 'Segregation and condensation protein A': 21}
OG0000794	SMC-Scp complex subunit ScpB	{'SMC-Scp complex subunit ScpB': 44, 'Segregation and condensation protein B': 21}
OG0000795	thymidylate synthase	{'thymidylate synthase': 46, 'Thymidylate synthase': 19}
OG0000796	GntR family transcriptional regulator	{'Bacterial regulatory proteins, gntR family': 1, 'GntR family transcriptional regulator': 46, 'HTH-type transcriptional repressor YtrA': 18}
OG0000797	uridine kinase	{'Uridine kinase': 21, 'uridine kinase': 44}
